State,O,M,Dif,Governor,Senior senator,Junior senator,House D,House R,Net
Alabama,39,60,-21,Robert Riley (R)*,Richard Shelby (R)*,Jeff Sessions (R),3,4,-1
Alaska,38,59,-21,Sarah Palin (R)*,Lisa Murkowski (R)*,Mark Begich (D),0,1,-1
Arizona,45,54,-9,Jan Brewer(R)*,John McCain (R)*,Jon Kyl (R),5,3,2
Arkansas,39,59,-20,Mike Beebe (D)*,Blanche Lincoln (D)*,Mark Pryor (D),3,1,2
California,61,37,24,Arnie Schwarzenegger(R)*,Dianne Feinstein (D),Barbara Boxer (D)*,34,19,15
Colorado,54,45,9,Bill Ritter (D)*,Mark Udall (D),Michael Bennet (D)*,5,2,3
Connecticut,61,38,23,M. Jodi Rell (R)*,Chris Dodd (D)*,Joe Lieberman (I),5,0,5
Delaware,62,37,25,Jack Markell (D),Tom Carper (D),Ted Kaufman (D)*,,1,-1
Florida,51,48,3,Charlie Crist (R)*,Bill Nelson (D),Mel Martinez (R)*,10,15,-5
Georgia,47,52,-5,Sonny Perdue (R)*,Saxby Chambliss (R),Johnny Isakson (R)*,6,7,-1
Hawaii,72,27,45,Linda Lingle (R)*,Daniel Inouye (D)*,Daniel Akaka (D),2,0,2
Idaho,36,62,-26,Butch Otter (R)*,James Risch (R),Michael Crapo (R)*,1,1,0
Illinois,62,37,25,Pat Quinn (D)*,Richard Durbin (D),Roland Burris (D)*,12,7,5
Indiana,50,49,1,Mitchell Daniels (R),Dick Lugar (R),Evan Bayh (D)*,5,4,1
Iowa,54,44,10,Chet Culver (D)*,Chuck Grassley (R)*,Tom Harkin (D),3,2,1
Kansas,42,57,-15,Mark Parkinson (D)*,Sam Brownback (R)*,Pat Roberts (R),2,4,-2
Kentucky,41,57,-16,Steve Beshear (D),Mitch McConnell (R),Jim Bunning (R)*,1,3,-2
Louisiana,40,59,-19,Bobby Jindal (R),Mary Landrieu (D),David Vitter (R)*,1,6,-5
Maine,58,40,18,John Baldacci (D)*,Olympia Snowe (R),Susan Collins (R),2,0,2
Maryland,62,36,26,Martin O'Malley (D)*,Barbara Mikulski (D)*,Ben Cardin (D),7,1,6
Massachusetts,62,36,26,Deval Patrick (D)*,Scott Brown(R),John Kerry (D),10,0,10
Michigan,57,41,16,Jennifer Granholm (D)*,Carl Levin (D),Debbie Stabenow (D),8,7,1
Minnesota,54,44,10,Tim Pawlenty (R)*,Amy Klobuchar (D),Al Franken (D),5,3,2
Mississippi,43,56,-13,Haley Barbour (R),Thad Cochran (R),Roger Wicker (R),3,1,2
Missouri,48,49,-1,Jay Nixon (D),Kit Bond (R)*,Claire McCaskill (D),4,5,-1
Montana,47,50,-3,Brian Schweitzer (D),Max Baucus (D),Jon Tester (D),0,1,-1
Nebraska,42,57,-15,David Heineman (R)*,Ben Nelson (D),Mike Johanns (R),0,3,-3
Nevada,55,43,12,Jim Gibbons (R)*,Harry Reid (D)*,John Ensign (R),2,1,1
New Hampshire,54,45,9,John Lynch (D)*,Judd Gregg (R),Jeanne Shaheen (D),2,0,2
New Jersey,57,42,15,Chris Christie (R),Frank Lautenberg (D),Bob Menendez (D),8,5,3
New Mexico,57,42,15,Bill Richardson (D)*,Jeff Bingaman (D),Tom Udall (D),3,0,3
New York,63,36,27,David Paterson (D)*,Chuck Schumer (D)*,Kirsten Gillibrand  (D)*,27,2,24
North Carolina,50,49,1,Beverly Perdue (D),Richard Burr (R)*,Kay Hagan (D),8,5,3
North Dakota,45,53,-8,John Hoeven (R),Kent Conrad (D),Byron Dorgan (D)*,1,0,1
Ohio,51,47,4,Ted Strickland (D)*,George Voinovich (R)*,Sherrod Brown (D),10,8,2
Oklahoma,34,66,-32,Brad Henry (D)*,James Inhofe (R),Tom Coburn (R)*,1,4,-3
Oregon,57,40,17,Ted Kulongoski (D)*,Ron Wyden (D)*,Jeff Merkley (D),4,1,3
Pennsylvania,55,44,11,Ed Rendell (D)*,Arlen Specter (D)*,Bob Casey (D),12,7,5
Rhode Island,63,35,28,Don Carcieri (R)*,Jack Reed (D),Sheldon Whitehouse (D),2,0,2
South Carolina,45,54,-9,Mark Sanford (R)*,Lindsey Graham (R),Jim DeMint (R)*,2,4,-2
South Dakota,45,53,-8,Mike Rounds (R)*,Tim Johnson (D),John Thune (R)*,1,0,1
Tennessee,42,57,-15,Phil Bredesen (D)*,Lamar Alexander (R),Bob Corker (R),5,4,1
Texas,44,55,-11,Rick Perry (R)*,Kay Hutchison (R),John Cornyn (R),12,20,-8
Utah,34,63,-29,Gary Herbert (R),Orrin Hatch (R),Robert Bennett (R)*,1,2,-1
Vermont,67,30,37,James H. Douglas (R)*,Patrick Leahy (D)*,Bernie Sanders (I),1,0,1
Virginia,53,46,7,Bob McDonnell (R),Jim Webb (D),Mark Warner (D),6,5,1
Washington,58,40,18,Christine Gregoire (D),Patty Murray (D)*,Maria Cantwell (D),6,3,3
West Virginia,43,56,-13,Joe Manchin III (D),Robert Byrd (D),Jay Rockefeller (D),2,1,1
Wisconsin,56,42,14,Jim Doyle (D)*,Herb Kohl (D),Russell Feingold (D)*,5,3,2
Wyoming,33,65,-32,Dave Freudenthal (D)*,Michael Enzi (R),John Barrasso (R),0,1,-1
